Struggle
Twister
Vice Grip
Wrap
Cross Poison
Flame Charge
Horn Attack
Poison Fang
Brine
Disarming Voice
Aqua Jet
Draining Kiss
Icy Wind
Bone Club
Brick Break
Low Sweep
Bubble Beam
Magnet Bomb
Flame Burst
Mud Bomb
Sludge
Night Slash
Aerial Ace
Stomp
Air Cutter
Ominous Wind
Submission
Swift
Iron Head
Rock Tomb
Water Pulse
Bulldoze
X-Scissor
Ancient Power
Discharge
Dragon Claw
Hyper Fang
Fire Punch
Seed Bomb
Flame Wheel
Power Gem
Psybeam
Psyshock
Body Slam
Drill Peck
Thunder Punch
Shadow Ball
Signal Beam
Dark Pulse
Aqua Tail
Ice Punch
Drill Run
Rock Slide
Scald
Flamethrower
Sludge Bomb
Dazzling Gleam
Play Rough
Leaf Blade
Psychic
Thunderbolt
Cross Chop
Flash Cannon
Gunk Shot
Petal Blizzard
Dragon Pulse
Ice Beam
Sludge Wave
Dig
Power Whip
Bug Buzz
Megahorn
Hurricane
Heat Wave
Stone Edge
Moonblast
Hydro Pump
Fire Blast
Blizzard
Thunder
Earthquake
Solar Beam
Hyper Beam
